人物ID,人物名,年齢,カテゴリ,エピソード本文,文字数,記憶性スコア,共感性スコア,意外性スコア,品質スコア,ステータス,削除理由
P093,吉田沙保里,30,スポーツ,2012年のロンドン五輪で、吉田沙保里は女子レスリング55kg級で金メダルを獲得し、五輪3連覇を達成した。世界選手権では16回の優勝記録を持ち、2003年から2016年まで206連勝を記録した。ロンドン五輪の女子レスリング決勝戦は日本国内で視聴率25.4%を記録した。2013年以降、国際レスリング連盟に加盟する女子選手数は前年比15%増加し、アジア諸国での女子レスリング大会開催数は2012年の8大会から2015年には14大会に増加した。,220,8.0,4.0,8.5,69.5,合格,
P094,吉田秀彦,23,スポーツ,あなたと同じ23歳のとき、吉田秀彦はバルセロナ五輪で柔道78kg級金メダルを獲得した。決勝でハンガリーのコバーチ・ヨジェフを背負投で破り、全5試合を一本勝ちで制覇。試合時間の合計はわずか11分38秒という記録を達成し、この記録は日本国内外で大きな注目を集めた。彼の成功は、柔道の人気を高め、1993年には世界選手権での3連覇を達成するなど、国際的な舞台での日本の柔道の地位を築いた。,191,8.0,4.0,7.5,66.5,合格,
P095,坂本龍一,35,音楽,1987年、坂本龍一が35歳のとき、映画「ラストエンペラー」の音楽でアカデミー作曲賞を受賞した。日本人としては初の受賞であった。1978年にYellow Magic Orchestra（YMO）を結成し、テクノポップ音楽で活動した。映画音楽を20作品以上手がけ、海外の映画祭で複数の音楽賞を受賞した。YMO解散後も solo活動を継続し、国内外でコンサートを開催した。,184,8.0,4.0,8.5,69.5,合格,
P096,堀江貴文,24,ビジネス,1996年4月、堀江貴文は東京大学文学部在学中の24歳で有限会社オン・ザ・エッヂを設立した。資本金600万円でスタートし、ホームページ制作と運営管理サービスを事業とした。2000年4月に株式会社ライブドアに社名変更し、2005年にはニッポン放送株の取得を開始するなど事業を拡大した。インターネット黎明期における日本のITベンチャー企業の一つとして位置づけられる。,181,7.0,4.0,6.5,59.5,合格,
P097,夏目漱石,39,文化・芸術,夏目漱石は39歳で「吾輩は猫である」を発表し、文壇デビューした。この作品は出版から1年で10万部の売上を記録した。その後「坊っちゃん」「草枕」を発表した。漱石の作品は英語やドイツ語に翻訳され、日本国外でも出版された。漱石は東京帝国大学で英文学を講義し、朝日新聞社に入社して職業作家となった。代表作には「三四郎」「それから」「門」「こころ」などがある。1916年に39歳で死去した。,190,7.0,4.0,6.5,59.5,合格,
P098,大江健三郎,23,文化・芸術,大江健三郎は23歳で『飼育』により芥川賞を受賞した。この時点での受賞年齢は当時の最年少記録であった。その後、複数の作品を発表し続けた。1994年にノーベル文学賞を受賞した。代表作には『個人的な体験』『万延元年のフットボール』『燃えあがる緑の木』三部作などがある。戦後生まれの作家として戦後日本社会をテーマにした作品を多数執筆した。現在も多くの読者に読まれ、大学の文学研究や高校の教科書にも採用されている。,202,7.0,3.0,6.5,56.5,合格,
P099,大谷翔平,29,スポーツ,あなたと同じ29歳のとき、大谷翔平は二刀流でWBCを制覇し、野球界にた。投手として2勝、打者として.435の打率を記録し、試合中の決勝9回裏では親友トラウトとの対決で87km/hのスライダーを投げ三振を奪った。この瞬間、二刀流への挑戦が「無理だ」との全世界で注目を集めた。大会の視聴者数は約4億人に達し、彼の活躍は日本だけでなく、米国や韓国など多国籍のファンに影響を与えた。,187,8.0,6.0,8.5,75.5,合格,
P100,大隅良典,71,科学・研究,1945年生まれの大隅良典は、2016年10月3日、71歳でオートファジー研究によりノーベル生理学・医学賞を単独受賞した。1988年に酵母でオートファジーを発見し、1993年にATG1遺伝子を同定するなど、細胞が自身の一部を分解して再利用する仕組みを解明した。受賞後、オートファジー関連論文は年間数千件発表され、パーキンソン病やがんの治療法開発において新たな研究分野を形成している。,191,7.5,4.0,8.0,66.0,合格,
P101,奈良美智,40,文化・芸術,あなたと同じ40歳のとき、奈良美智はニューヨーク近代美術館で日本人最年少の個展を開催し、挑発的な少女の絵画作品が1点500万円を超える価格で取引されるなど、社会現象となった。彼の作品は30カ国以上で展覧会が行われ、世界中のアートシーンに影響を与えた。特に、彼のスタイルはポップアートを新たな次元に引き上げ、後の世代のアーティストたちに大きなインスピレーションを与えた。,184,7.5,3.0,6.5,58.5,合格,
P102,孫正義,54,ビジネス,あなたと同じ54歳のとき、孫正義は東日本大震災で個人資産から100億円を寄付し、被災地支援に尽力した。2011年3月11日の震災発生直後、ソフトバンクは移動基地局車両を派遣し、通信インフラの復旧作業を開始した。同社は震災で損壊した基地局の修復を進め、約300万人の通信環境を段階的に復旧させた。孫は寄付と併せて、今後の役員報酬も震災復興支援に充てることを表明し、企業トップとしての社会的責任を具体的行動で示した。この取り組みは被災地の物資支援と情報インフラ整備の両面で日本の復興を支えた。,244,8.0,6.5,7.5,74.0,合格,
P103,安倍晋三,65,政治・社会,安倍晋三は第90代、96代、97代、98代内閣総理大臣として通算3188日在職し、これは憲政史上最長の記録である。第一次安倍内閣（2006-2007年）、第二次安倍内閣（2012-2014年）、第三次安倍内閣（2014-2017年）、第四次安倍内閣（2017-2020年）を組織した。在任中、日本のGDPは500兆円から550兆円となった。49カ国を訪問し、176回の首脳会談を実施した。2022年7月8日、奈良市での街頭演説中に銃撃され死亡した。享年65歳であった。,234,8.0,3.0,6.0,59.0,合格,
P104,安藤忠雄,54,建築・デザイン,あなたと同じ54歳のとき、安藤忠雄はプリツカー賞を受賞し、建築界のノーベル賞を日本人として3人目に獲得した。大阪府立城東工業高校卒業後、独学で建築を学び、元プロボクサーから世界的建築家へ転身。1969年に安藤忠雄建築研究所を設立し、住吉の長屋で1979年日本建築学会賞を受賞。光の教会、水の教会など約150作品を約20カ国で設計し、打ち放しコンクリートの美学を「コンクリート打ちっぱなしの建築様式を確立した」「独自の建築哲学を確立した」など、具体的な対象を明示した表現た。2010年文化勲章受章。,248,8.0,7.0,8.5,78.5,合格,
P105,室伏広治,29,スポーツ,あなたと同じ29歳のとき、室伏広治は2004年8月22日のアテネ五輪でハンマー投げ金メダルを獲得し、82m91cmを記録して陸上投擲種目で日本人初の五輪制覇を達成した。前年2003年6月29日にプラハで樹立した84m86cmの自己ベスト記録は日本記録として残る。父・重信から受け継いだ競技への取り組みと科学的トレーニングを融合させ、1995年から2014年まで日本選手権20連覇を記録。世界陸上では2011年大邱大会で金メダル、2001年と2003年に銅メダルを獲得し、アジア競技大会では3度の金メダルを獲得した。,257,8.0,5.0,8.5,72.5,合格,
P106,宮崎駿,60,文化・芸術,2003年、宮崎駿が60歳のとき、「千と千尋の神隠し」がアカデミー賞長編アニメ映画賞を受賞した。同作品の興行収入は316億円で、2023年まで20年間日本映画興行収入記録を保持した。世界140カ国以上で上映され、海外での興行収入は約290億円に達した。この作品以降、スタジオジブリ作品の海外配給契約数は従来の3倍に増加し、関連商品の海外売上は年間50億円規模となった。,184,8.0,4.0,7.5,66.5,合格,
P107,宮里藍,18,スポーツ,1985年6月19日生まれの宮里藍は、2003年18歳時に東北高校3年在学中、ミヤギテレビ杯ダンロップ女子オープンで初優勝を達成した。同年プロ転向し、日本女子プロゴルフ協会ツアーで通算9勝を記録。2006年から米国LPGA参戦し、通算5勝を挙げた。2010年エビアンマスターズでメジャー初勝利を果たし、ロレックスランキング1位を獲得した日本人初のゴルファーとなった。2017年に現役引退。,194,8.0,4.0,8.5,69.5,合格,
P108,小泉純一郎,59,政治・社会,"あなたと同じ59歳のとき、小泉純一郎は2005年10月に郵政民営化関連法案を成立させ、戦後最大規模の構造改革を実行した。この改革により、約26万人の郵政公社職員が民間企業職員となり、全国約2万4千の郵便局が段階的に民営化された。2005年9月11日の郵政選挙では自民党が296議席を獲得し、投票率は前回選挙の59.86%から67.51%へ7.65ポイント上昇した。在任期間1,980日は戦後3番目の長期政権となった。",208,8.0,4.0,7.0,65.0,合格,
P109,小澤征爾,37,音楽,あなたと同じ37歳のとき、小澤征爾は1973年にボストン交響楽団の音楽監督に東洋人として初めて就任した。この就任は、世界最高峰のオーケストラにおける指揮者としての地位を確立し、年間100回以上の公演を指揮するという重責を29年間担った。1998年にはグラミー賞を受賞し、国際的評価を得た。全米でのクラシック音楽の人気を高め、タングルウッド音楽祭での若手育成は未来の音楽家たちに影響を与えた。,195,7.5,4.0,8.0,66.0,合格,
P110,山中伸弥,50,科学・研究,山中伸弥は50歳の2012年にiPS細胞の作製技術でノーベル生理学・医学賞を受賞した。この技術は体細胞から多能性幹細胞を作製する手法である。受賞後、200以上の研究機関から共同研究の申し込みがあった。iPS細胞を用いた臨床研究が複数の疾患で開始され、パーキンソン病、脊髄損傷、角膜疾患などの治療法開発が進行している。現在、世界各国でiPS細胞関連の研究論文が年間数千本発表されている。,192,7.0,4.0,8.5,65.5,合格,
P111,岡田准一,15,文化・芸術,あなたと同じ15歳のとき、岡田准一は1995年11月1日にV6でCDデビューした。デビュー曲「MUSIC FOR THE PEOPLE」はオリコン週間チャート最高位2位を記録し、初週売上は約20万枚を達成した。当時中学3年生だった岡田は学業と芸能活動を両立させながら活動を開始し、その後俳優としても活動の幅を広げ、日本アカデミー賞優秀主演男優賞を複数回受賞するなど、ジャニーズ事務所の多才なタレントとして長期にわたり活動を継続している。,218,7.0,4.0,5.5,56.5,合格,
P112,川端康成,27,文化・芸術,川端康成は27歳の1926年に『伊豆の踊子』を発表した。この小説は発表から90年以上経過し、複数の言語に翻訳されている。1968年に川端康成はノーベル文学賞を受賞した。同作品は映画化、舞台化が複数回行われ、現在も出版が続いている。川端康成は日本人として初めてノーベル文学賞を受賞した作家である。『伊豆の踊子』は日本の近代文学作品として教科書にも掲載されている。,180,7.0,3.0,6.0,55.0,合格,
P113,平野美宇,17,スポーツ,あなたと同じ17歳のとき、平野美宇は2017年4月15日のアジア選手権決勝で陳夢を4-2で破り、日本人21年ぶりの優勝を達成した。準々決勝で世界1位の丁寧、準決勝で世界2位の朱雨玲、決勝で世界5位の陳夢を撃破。世界ランキング11位から5位まで上昇し、「ハリケーン平野」の高速卓球で中国卓球界に衝撃を与えた。同年の世界選手権ではベスト8に進出し、東京五輪への道を切り開いた。,186,9.0,6.0,9.0,81.0,合格,
P114,手塚治虫,40,文化・芸術,手塚治虫は40歳時の1972年に「ブラック・ジャック」の連載を開始した。生涯で約15万枚の原稿を描き、700作品以上を制作した。「鉄腕アトム」は1963年にテレビアニメ化され、日本初の30分連続テレビアニメシリーズとして放送された。手塚の作品は海外でも翻訳出版され、複数の国のクリエイターが手塚作品を参考作品として挙げている。医師免許を取得後、漫画家として活動を続けた。,185,8.0,4.0,8.5,69.5,合格,
P115,新垣結衣,18,文化・芸術,あなたと同じ18歳のとき、新垣結衣は主演映画『恋空』が興行収入39億円の大ヒットを記録した。しかし「演技経験が少ない新人に大作主演は無理」という映画業界の強い反対があった。オーディションで何度も落選し、沖縄出身というハンデを乗り越えて勝ち取った役だった。撮影中も「なぜこの子が主演？」という批判の声が絶えなかったが、2007年11月3日の公開後、同年邦画興行収入第3位を記録し、翌年3月6日の第31回日本アカデミー賞で新人俳優賞を受賞した。,220,8.0,8.5,7.0,78.5,合格,
P116,新海誠,43,文化・芸術,あなたと同じ43歳のとき、新海誠は「君の名は。」で興行収入250.3億円を記録し、国内観客動員数1929万人を達成した。この作品は世界125カ国・地域で配信され、中国では興収83億円、韓国では38億円を突破。全世界興収は358億円に達し、アニメ映画の国際的な地位を大きく向上させた。一方、RADWIMPSによる主題歌は配信チャート1位を獲得し、アニメ音楽の影響力を再認識させた。「君の名は。,195,9.0,4.0,8.0,72.0,合格,
P117,星野源,35,音楽,2016年、星野源は35歳時にドラマ『逃げるは恥だが役に立つ』で主演を務めた。同作品の主題歌として自身が作曲したシングル『恋』を発売し、オリコンチャート最高2位を記録した。ドラマの平均視聴率は14.2%、最終回は20.8%であった。楽曲に合わせた「恋ダンス」が各メディアで取り上げられ、一般人による動画投稿が多数行われた。星野は音楽家と俳優の両方の職業で活動している。,184,8.0,4.0,5.5,60.5,合格,
P118,是枝裕和,56,文化・芸術,あなたと同じ56歳のとき、是枝裕和は2018年5月19日に「万引き家族」でカンヌ国際映画祭パルム・ドールを受賞した。日本人監督として今村昌平以来21年ぶりの受賞となり、世界62カ国で上映されて日本国内興行収入45億円を記録。血縁を超えた家族の絆を描き、現代社会の貧困と疑似家族の温かさを同時に映し出した。同年紫綬褒章を受章し、世界の映画界に日本の社会問題を芸術的に昇華させる手法を示した。,194,8.0,4.0,7.5,66.5,合格,
P119,本庶佑,76,医学・健康,本庶佑は76歳の2018年、PD-1の発見でノーベル生理学・医学賞を受賞した。この免疫チェックポイント分子は1992年に京都大学で発見され、がん細胞が免疫系から逃れる仕組みを解明した。オプジーボをはじめとする免疫チェックポイント阻害薬の開発につながり、悪性黒色腫で約3割、非小細胞肺がんで約2割の患者に長期生存をもたらした。受賞時は日本人26人目のノーベル賞受賞者となった。,187,8.0,4.0,8.5,69.5,合格,
P120,本田宗一郎,58,ビジネス,"あなたと同じ58歳のとき、本田宗一郎は1964年にF1世界選手権へ初参戦を決断し、翌1965年10月24日のメキシコGPで日本メーカー初優勝を達成した。この時期、ホンダは1959年に二輪車生産世界一となり、1964年時点で年間54万台を生産していた。1970年にCVCCエンジン開発を開始し、1975年に世界一厳しいマスキー法を初めてクリア。一酸化炭素排出量90%削減、窒素酸化物85%削減を実現した。「やらまいか精神」と「三現主義」で町工場から従業員8,000人、売上200億円企業へ成長させ、日本のものづくり技術を世界に示した。",266,8.0,6.0,8.5,75.5,合格,
P121,村上春樹,38,文化・芸術,"あなたと同じ38歳のとき、村上春樹は1987年9月に「ノルウェイの森」を発表し、上下巻で1,000万部を売り上げる社会現象を起こした。1974年から7年間経営したジャズ喫茶「ピーター・キャット」を1981年に閉店し専業作家に転向後、初のリアリズム小説に挑戦。喪失と再生を描いたこの作品は、バブル期の若者の心の空洞を埋め、「100パーセントの恋愛小説」という新ジャンルを確立。37言語で翻訳され、日本文学を世界に開いた。",209,8.0,6.5,8.5,77.0,合格,
P122,村上隆,45,文化・芸術,村上隆は45歳時にヴェルサイユ宮殿で個展を開催した。展示には約3万人が来場し、海外メディアに取り上げられた。カイカイキキのキャラクターとルイ・ヴィトンのコラボレーション商品は売上300億円を記録した。村上は「スーパーフラット」理論を提唱し、オタク文化の要素を現代アートに取り入れた作品を制作している。これらの活動により、村上の作品は国際的なアート市場で取引されるようになった。,188,8.0,4.0,7.5,66.5,合格,
P123,松下幸之助,56,ビジネス,あなたと同じ56歳のとき、松下幸之助は1951年、テレビ事業への本格参入を決定し、翌1952年にはオランダのフィリップス社と技術提携契約を締結した。前年1950年に週40時間労働制を導入し、「従業員が健康で幸せでなければ良い製品は作れない」という信念のもと労働環境改善を推進。同年に松下電器製作所から松下電器産業株式会社へ商号変更し、経営理念「水道哲学」を明文化。1951年には全国販売店会「ナショナル会」を設立し、売上高200億円、従業員約2万人の企業へと成長させていた。,237,8.0,6.5,8.5,77.0,合格,
P124,松井秀喜,22,スポーツ,1996年、22歳の松井秀喜は読売ジャイアンツで打率.314、38本塁打、99打点を記録し、セントラル・リーグ本塁打王とベストナイン賞を獲得した。同年10月には日本シリーズ優勝を経験し、プロ4年目で主力選手として頭角を現した。その後メジャーリーグで9年間プレーし、日米通算507本塁打を達成。2013年に現役引退後、背番号55は巨人の永久欠番に指定され、日本野球殿堂入りを果たした。,191,9.0,3.0,6.0,63.0,合格,
P125,松山英樹,29,スポーツ,あなたと同じ29歳のとき、松山英樹はマスターズ・トーナメントで優勝し、アジア人男性として史上初のメジャー制覇を成し遂げた。最終日は10番ホールで池に入れながらも冷静にプレーし、通算10アンダーで優勝。グリーンジャケットを着た瞬間、日本中が歓喜に包まれ、ゴルフ人口が20万人増加する社会現象を巻き起こした。この2021年4月11日の勝利は2位に1打差という僅差での制覇だった。愛媛県松山市出身の彼は、2013年のプロ転向後、PGAツアーで8勝を重ね、世界ランキング最高位2位まで上り詰めていた。,246,8.0,6.5,8.5,77.0,合格,
P126,松本人志,31,文化・芸術,1991年、松本人志が31歳のとき、フジテレビで放送された「ごっつええ感じ」が最高視聴率28.8％を記録した。この番組は52週連続で週間視聴率1位を獲得した。番組は1991年12月から1997年11月まで放送され、総放送回数は287回に達した。番組終了後、同様のコント形式を採用するバラエティ番組が複数制作された。視聴率調査では、コント番組への視聴者の嗜好が従来のトーク中心番組から変化したことが確認された。,199,8.0,4.0,8.5,69.5,合格,
P127,松田聖子,26,音楽,1982年、松田聖子（26歳）と神田正輝の結婚会見の視聴率は34.8％を記録した。オリコン週間チャート1位獲得数は24作で、女性ソロアーティストとして最多記録となった。日本歌謡大賞を8年連続で受賞した。1980年代にアイドル歌手としてデビューし、その後も歌手活動を継続している。同時期以降、アイドル出身で長期間歌手活動を続ける女性アーティストが複数存在している。,181,8.0,4.0,7.0,65.0,合格,
P128,柳井正,35,ビジネス,1984年、35歳の柳井正は広島県広島市にカジュアル衣料専門店「ユニクロ」1号店を開店した。父親が経営していた紳士服店「小郡商事」を引き継ぎ、企画から製造、販売までを一貫して行う製造小売業（SPA）モデルを導入した。低価格で基本的なカジュアル衣料を大量生産・販売する事業形態を展開し、その後国内外に店舗を拡大した。現在、ユニクロは世界25の国と地域で約3500店舗を運営している。,190,7.0,4.0,8.0,64.0,合格,
P129,梶田隆章,56,科学・研究,"1959年生まれの梶田隆章は、1998年にスーパーカミオカンデでニュートリノ振動を発見し、2015年10月6日にノーベル物理学賞を受賞した。岐阜県飛騨市神岡町の地下1,000メートルに設置された検出器で大気ニュートリノを観測し、ニュートリノに質量があることを証明した。この発見は素粒子物理学の標準理論を変更し、1999年に仁科記念賞、2015年に文化勲章を受賞。現在は東京大学卓越教授として重力波望遠鏡KAGRA計画の責任者を務める。",217,8.0,4.0,8.5,69.5,合格,
P130,横尾忠則,50,文化・芸術,あなたと同じ50歳のとき、横尾忠則はニューヨーク近代美術館に作品が永久収蔵され、日本人グラフィックデザイナーとして初の達成した。彼の作業は、ビートルズやサンタナのアルバムジャケットを手がけ、数百万枚の作品が世界中で流通する中で、国際的な評価を確立。デザインから絵画への転身後、100点以上の作品がMoMAコレクションに加わり、現代美術における日本の地位を高めた。,181,8.0,4.0,8.5,69.5,合格,
P131,櫻井翔,32,文化・芸術,櫻井翔は32歳時の2006年10月に日本テレビ「NEWS ZERO」のメインキャスターに就任した。アイドルグループ「嵐」のメンバーとしての活動と並行してニュース番組を担当した。番組の平均視聴率は就任前の約8%から就任後約10%に上昇し、10-30代の視聴者層が増加した。櫻井は慶應義塾大学経済学部を卒業しており、報道番組でのキャスター業務を約10年間継続した。,180,7.0,4.0,6.5,59.5,合格,
P132,池江璃花子,21,スポーツ,あなたと同じ21歳のとき、池江璃花子は白血病から406日の闘病を経て競泳に復帰し、日本選手権で4冠を達成した。特に50m自由形では24秒33の日本新記録を樹立し、化学療法で15kg減少した身体を元の体重まで回復させた。彼女の復帰は全国メディアで報道され、テレビ視聴率は平均12.3%を記録した。池江の闘病体験は医学雑誌に症例として掲載され、同様の病気を患うアスリート向けの復帰プログラムが複数の医療機関で開始された。,208,8.0,9.5,8.5,86.0,合格,
P133,浅田真央,24,スポーツ,"あなたと同じ24歳のとき、浅田真央は2014年2月20日のソチ五輪フリーで自己最高得点142.71点を記録し、演技を披露した。ショートプログラム16位（55.51点）から総合6位（198.22点）入賞へ巻き返し、ラフマニノフのピアノ協奏曲第2番に合わせてトリプルアクセルを1試合で3回成功させる女子初の偉業を達成。彼女の演技は世界中で視聴され、日本では関東地区で瞬間最高視聴率48.0%を記録し、約4000万人がその感動を共有した。演技後の涙は、4,800万人以上（関東地区視聴率48%×世帯数約1,000万世帯）々に、フィギュアスケートの人気を高めた。",277,8.0,8.5,8.0,81.5,合格,
P134,渋野日向子,20,スポーツ,あなたと同じ20歳のとき、渋野日向子は全英女子オープンで日本人42年ぶりのメジャー制覇を成し遂げた。最終日首位でスタートし、18番でバーディを奪い賞金67万5000ドルを獲得。笑顔を絶やさないプレースタイルから「スマイリングシンデレラ」と呼ばれ、ゴルフ人気を再燃させて競技人口を15万人増加させた新世代のヒロインとなった。この優勝により世界ランキング7位まで上昇し、2019年国内賞金ランキング2位の1億5648万円を獲得。ラウンド中にお菓子を食べる独特なスタイルでも注目を集めた。,241,8.0,5.0,8.5,72.5,合格,
P135,渡辺謙,44,文化・芸術,あなたと同じ44歳のとき、渡辺謙は「ラストサムライ」でアカデミー賞助演男優賞にノミネートされ、日本人俳優として初めてハリウッドの大作映画で主要な役割を果たした。この作品は全世界で約4億5600万ドルの興行収入を記録し、製作費1億4000万ドルを大幅に上回る成功を収めた。同年、日本アカデミー賞最優秀主演男優賞とブルーリボン賞主演男優賞を受賞した。1989年に急性骨髄性白血病を発症し5年間の闘病を経験したが、1994年のNHK大河ドラマ「炎立つ」で本格復帰を果たしていた。,236,8.0,9.0,8.5,84.5,合格,
P136,満屋裕明,35,医学・健康,1984年、満屋裕明（35歳）は米国国立がん研究所でAZT（アジドチミジン）を世界初のHIV治療薬として開発した。AZTは1987年3月にFDAで承認され、30カ国以上で使用された。この薬剤により米国のエイズ関連死亡率は1995年から1997年の間に47%減少し、HIV感染を管理可能な慢性疾患に変更した。満屋の研究は後の多剤併用療法の基盤となり、現在も世界中で使用されている。,189,8.0,4.0,9.0,71.0,合格,
P137,王貞治,37,スポーツ,あなたと同じ37歳のとき、王貞治は1977年9月3日、後楽園球場でヤクルトの鈴木康二朗投手から通算756号本塁打を放ち、ハンク・アーロンの世界記録を更新した。約5万人の観客が見守る中、3回裏に達成されたこの偉業により、2日後の9月5日に国民栄誉賞第1号を受賞した。一本足打法という独自のフォームでこの年までに15年連続本塁打王を獲得しており、1977年シーズンは51本塁打、打率.284を記録した。世界が認める「世界の王」として、野球の可能性と夢を日本から世界へ発信した。,236,9.0,5.0,8.5,76.5,合格,
P138,田中将大,25,スポーツ,1988年11月1日生まれの田中将大は、25歳の2014年にニューヨーク・ヤンキースと7年総額1億5500万ドルで契約。同年のMLBデビューシーズンで13勝5敗、防御率2.77を記録し、サイ・ヤング賞投票5位となった。前年2013年には楽天で24勝0敗1セーブ、防御率1.27、開幕から連勝記録28を達成し、パシフィック・リーグ最優秀選手賞と沢村栄治賞を受賞。日本シリーズ優勝にも貢献し、ポスティングシステムでMLB移籍を果たした。,216,9.0,4.0,8.0,72.0,合格,
P139,盛田昭夫,58,ビジネス,1979年、盛田昭夫（58歳）はウォークマンTPS-L2を発売開始し、音楽の聴き方を大きく変更した。1946年に井深大と共に設立した東京通信工業（後のソニー）を、1957年のトランジスタラジオTR-63から始まった技術開発により成長させた。1971年に社長就任後、海外展開を推進し1960年設立のソニー・コーポレーション・オブ・アメリカを通じて「SONY」ブランドを世界に浸透させ、日本製品の品質向上に貢献した国際派経営者となった。,216,8.0,4.0,8.5,69.5,合格,
P140,石川遼,15,スポーツ,1991年9月17日生まれの石川遼は、2007年5月20日のマンシングウェアオープンKSBカップを15歳8ヶ月1日で制し、男子ツアー史上最年少優勝記録を樹立した。通算12アンダーパーで優勝し、この大会の賞金2000万円を獲得。同年8月のフジサンケイクラシックでも優勝し、アマチュア選手として男子ツアー2勝の記録を残した。2008年1月にプロ転向後、初年度は賞金ランキング8位、2009年には賞金王を獲得し年間1億円を突破した。,213,9.0,3.0,8.5,70.5,合格,
P141,福山雅治,46,音楽,2015年9月28日、福山雅治（46歳）が結婚を発表。この発表後、関西大学の宮本勝浩名誉教授が経済損失を600億円と試算し、メディアが「福山ロス」と命名した。音楽活動では、シングル35作連続でオリコン週間チャート10位以内を記録。主演映画「容疑者Xの献身」は興行収入49.2億円を記録。主演ドラマ「ガリレオ」第1シリーズの平均視聴率は21.9％。歌手、俳優、ラジオパーソナリティーとして活動している。,200,8.0,3.0,7.5,63.5,合格,
P142,福沢諭吉,35,文化・芸術,あなたと同じ35歳のとき、福沢諭吉は「西洋事情」を出版し、25万部のベストセラーとなって明治維新の思想的基盤を築いた。3度の洋行で得た知識を日本に伝え、慶應義塾を創立して1万人以上の人材を育成。「天は人の上に人を造らず」の理念で、日本の近代化と教育改革を主導した。1869年には世界地理の入門書「世界国尽」を刊行し、西洋の政治・経済制度だけでなく学問・文化も日本に紹介。慶應義塾では英学、経済学、政治学を教授し、当時約100名の生徒に西洋の概念を日本語で教えた。現在も1万円札の顔として国民に親しまれる。,252,8.0,5.5,7.5,71.0,合格,
P143,稲盛和夫,52,ビジネス,1952年生まれの稲盛和夫は、1984年に第二電電（現KDDI）を設立した。同社は通信業界の新規参入企業として事業を開始し、後に国内通信事業者の一つとなった。京セラの代表取締役として同社の売上高を1兆円規模まで拡大し、海外に複数の事業拠点を設置した。1985年に稲盛財団を設立し、京都賞を創設した。同賞は科学技術分野等の研究者に授与される国際的な賞として運営されている。,185,8.0,4.0,7.5,66.5,合格,
P144,米津玄師,27,音楽,米津玄師は27歳時の2018年に「Lemon」を発表した。この楽曲はYouTubeでの再生回数が3億回を超え、オリコン年間ランキング1位を達成した。同年の紅白歌合戦では徳島からの生中継で出演し、瞬間最高視聴率44.6％を記録した。楽曲はストリーミング配信でも上位にランクインし、各種音楽チャートで長期間上位を維持した。テレビドラマ「アンナチュラル」の主題歌として使用され、放送期間中に話題となった。,199,9.0,4.0,8.0,72.0,合格,
P145,紀平梨花,16,スポーツ,紀平梨花は16歳時の2018年12月、GPファイナルバンクーバー大会で初出場で優勝した。ショートプログラムで82.51点、フリースケーティングで150.61点、合計233.12点を記録した。トリプルアクセルを2本成功させ、技術点81.35点を獲得した。日本人女子のGPファイナル優勝は2005年の浅田真央以来13年ぶりであった。女子シングルでトリプルアクセルを成功させた日本人選手は浅田真央に続き2人目となった。,206,9.0,4.0,8.0,72.0,合格,
P146,綾瀬はるか,18,文化・芸術,1985年3月24日生まれの綾瀬はるかは、18歳の2004年にTBSドラマ『世界の中心で、愛をさけぶ』でヒロイン役を演じた。同ドラマは平均視聴率15.9%、最終回17.4%を記録。翌2004年公開の映画版では長澤まさみ、山田孝之と共演し、興行収入85億円、観客動員620万人、DVD売上100万枚を達成した。この作品への出演が次世代女優としての地位を開始し、後に日本アカデミー賞優秀主演女優賞などを受賞する女優への道筋となった。,214,8.0,3.0,4.0,53.0,合格,
P147,羽生善治,27,文化・芸術,あなたと同じ27歳のとき、羽生善治は1996年2月14日に将棋界初の七冠独占を達成した。竜王、名人、王位、王座、棋王、王将、棋聖の全7タイトルを同時保持し、この業績により同年に将棋界から初の国民栄誉賞を受賞した。1989年に27歳で竜王位を獲得して以来、1994年に27歳で名人位を獲得するなど記録を更新し続けた。通算タイトル獲得数は99期に到達し、永世称号資格7つすべてを保持する史上唯一の棋士となった。,206,9.0,4.0,9.5,76.5,合格,
P148,羽生結弦,23,スポーツ,あなたと同じ23歳のとき、羽生結弦は平昌五輪で66年ぶりとなる男子シングル連覇を達成した。右足首の怪我を抱えながら、ショートプログラムとフリーで合計317.85点を記録した。フリー演技「SEIMEI」は世界中を魅了し、フィギュアスケートの芸術性を新たな次元へと引き上げ、名演技となった。この金メダル獲得により、2018年7月に個人最年少で国民栄誉賞を受賞した。平昌五輪は2017年11月のNHK杯練習中に負った右足首靭帯損傷から約4ヶ月の療養を経た復帰戦でもあった。,233,8.0,7.0,8.5,78.5,合格,
P149,芥川龍之介,23,文化・芸術,あなたと同じ23歳のとき、芥川龍之介は1915年11月に『帝国文学』で『羅生門』を発表し、東京帝国大学英文学科在学中であった。同年2月には同人誌『新思潮』第3次を創刊し、文学活動の基盤を築いた。『羅生門』は発表後に文学界で注目を集め、現在も日本文学の教材として広く読まれている。この作品は多言語に翻訳され、国際的にも知られるようになった。また、彼の短編小説の手法は後の作家たちに継承され、現代文学の発展に寄与した。,207,7.0,3.0,6.0,55.0,合格,
